ref	Address	note
17704:666	Zavadilova , P 6 Dejvice, Praha, Hl. město Praha	vežak
19007:1916	Klenovská , Praha 97 Vinoř, Praha, Hl. město Praha	zast.MHD
19007:885	Klíčovská-Letňanská P 9 Prosek, Praha, Hl. město Praha	MHD
19007:919	Čimická, , Praha 8 Čimice, Praha, Hl. město Praha	konečná MHD
19007:955	Světská-Kyje , Praha 9 Kyje, Praha, Hl. město Praha	Hutě
25107:246	Na Pazderně , Škvorec č. 3 - 16 Škvorec, Praha-východ	rozcestí
26907:183	Komenského nám.před Tabákem Nové Strašecí, Rakovník	stojan
26907:185	Ruda, Rakovnická 205 Ruda, Rakovník	stojan u prodejny
26907:188	Mšecké sídliště, před 840 Nové Strašecí, Rakovník	stojan
26907:191	Mšec - Oáza Mšec, Rakovník	zastávka ČSAD
26907:192	Mšecké Žehrovice Mšecké Žehrovice, Rakovník	zastávka ČSAD
26907:193	Lodenice Lodenice, Mšecké Žehrovice, Rakovník	zastávka ČSAD
27207:120	K. Žehrovice - Háje Kamenné Žehrovice, Kladno	zast. ČSAD
27207:132	Stochov, Náměstí u Dubu Stochov, Kladno	aut. zast.
27207:133	Stochov - Honické nám. Stochov, Kladno	aut. zast.
27207:138	Pchery - Humny, Lípová ul. Humny, Pchery, Kladno	zast. Lípová
27207:149	Ješín, naproti čp. 40 Ješín, Velvary, Kladno	ČSAD zast.
27207:275	Osluchov Osluchov, Žižice, Kladno	náměstí
27207:277	Luníkov Luníkov, Žižice, Kladno	náměstí
27207:279	Kamenný Most Kamenný Most, Kladno	náměstí
30072:300	Louňava - prodejna dočasně sejmuta Louňová, Plzeň-jih	31.3.2017
33907:330	Mokrosuky - stojan Mokrosuky, Klatovy	proti zámku
33907:38	Újezdec - autobusová zastávka Újezdec, Mochtín, Klatovy	Mochtín
33907:386	Srní - rekr.stř.Vydra Srní, Klatovy	ZČE
35007:172	Sokolov, obchodní dům Kaufland dočasně sejmuta 17	Sokolov, Sokolov
35007:200	Horní Částkov- dočasně sejmuta Horní Částkov, Habartov, Sokolov	13.3.2017
36207:19	K.Vary, Úvalská Drahovice, Karlovy Vary	u stánku PNS
36207:21	K.Vary, Polská 12 Drahovice, Karlovy Vary	hotel Slávie
