ref	lat	lon	address	address_back	accuracy	type
79207:12	49.97890839999999	17.4554396	Pod Lipami 1738/56, Bruntál	Pod Lipami 1738/56, Bruntál,CZ	ROOFTOP	street_address
79207:13	49.9906593	17.4675235	Dukelská 1501/2, Bruntál, Bruntál	Dukelská 1501/2, Bruntál, Bruntál,CZ	ROOFTOP	street_address
69007:3	48.75127699999999	16.8952671	Mládežnická Gumotex, Břeclav	Mládežnická Gumotex, Břeclav,CZ	ROOFTOP	establishment,point_of_interest
69007:6	48.7603926	16.886564	sídl.Dukelských hrdinů, Břeclav	sídl.Dukelských hrdinů, Břeclav,CZ	GEOMETRIC_CENTER	route
69007:7	48.7627491	16.8833852	Kupkova - Nár.hrdinů roh, Břeclav	Kupkova - Nár.hrdinů roh, Břeclav,CZ	GEOMETRIC_CENTER	intersection
69007:16	48.775246	16.8932226	Lidická, Břeclav	Lidická, Břeclav,CZ	GEOMETRIC_CENTER	route
35007:7	50.0679301	12.3660642	Cheb, Pastýřská, Cheb	Cheb, Pastýřská, Cheb,CZ	GEOMETRIC_CENTER	route
35007:156	50.1875095	12.6389997	Smetanova, Sokolov	Smetanova, Sokolov,CZ	GEOMETRIC_CENTER	route
35007:158	50.1803221	12.6446636	náměstí Budovatelů, Sokolov	náměstí Budovatelů, Sokolov,CZ	GEOMETRIC_CENTER	route
35007:161	50.1723584	12.6624475	Seifertova, Sokolov	Seifertova, Sokolov,CZ	GEOMETRIC_CENTER	route
35007:163	50.174118	12.6720241	Alšova, Sokolov	Alšova, Sokolov,CZ	GEOMETRIC_CENTER	route
35007:164	50.1729677	12.6692243	Švabinského, Sokolov	Švabinského, Sokolov,CZ	GEOMETRIC_CENTER	route
35007:166	50.1753912	12.6603688	Sokolovská, Sokolov	Sokolovská, Sokolov,CZ	GEOMETRIC_CENTER	route
35007:167	50.173576	12.6551989	Slovenská, Sokolov	Slovenská, Sokolov,CZ	GEOMETRIC_CENTER	route
35007:173	50.1823768	12.6491354	prodejna BILLA, Sokolov	prodejna BILLA, Sokolov,CZ	ROOFTOP	establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket
35007:174	50.1742605	12.6515604	prodejna PENNY, Sokolov	prodejna PENNY, Sokolov,CZ	ROOFTOP	establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket
35007:175	50.181919	12.640505	Růžové náměstí, OD Výběr, Sokolov	Růžové náměstí, OD Výběr, Sokolov,CZ	ROOFTOP	establishment,hardware_store,point_of_interest,store
79007:10	50.2268959	17.2029239	Dukelská 717/2, Albert, Jeseník	Dukelská 717/2, Albert, Jeseník,CZ	ROOFTOP	street_address
36207:1	50.228452	12.8544312	Západní 1807/43, Karlovy Vary	Západní 1807/43, Karlovy Vary,CZ	ROOFTOP	street_address
36207:24	50.2214724	12.8893525	Na Vyhlídce 75,, Karlovy Vary	Na Vyhlídce 75,, Karlovy Vary,CZ	RANGE_INTERPOLATED	street_address
27207:1	50.1456501	14.0987546	ulice T.G. Masaryka, Kladno	ulice T.G. Masaryka, Kladno,CZ	GEOMETRIC_CENTER	route
27207:2	50.143387	14.0888394	Tř. ČSA, Kladno	Tř. ČSA, Kladno,CZ	GEOMETRIC_CENTER	establishment,point_of_interest
27207:9	50.1384114	14.0895075	Fr. Kloze, Domov důchodců, Kladno	Fr. Kloze, Domov důchodců, Kladno,CZ	ROOFTOP	establishment,health,point_of_interest
27207:10	50.1429155	14.0920439	Nemocnice Kladno, Kladno	Nemocnice Kladno, Kladno,CZ	GEOMETRIC_CENTER	route
27207:11	50.1416042	14.0925231	škola na Amálce, Kladno	škola na Amálce, Kladno,CZ	ROOFTOP	establishment,point_of_interest,school
27207:12	50.1414653	14.0982004	restaurace u Dvořáků, Kladno	restaurace u Dvořáků, Kladno,CZ	ROOFTOP	establishment,food,point_of_interest,restaurant
27207:14	50.1458972	14.1063137	nádraží ČSD, Kladno	nádraží ČSD, Kladno,CZ	ROOFTOP	bus_station,establishment,point_of_interest,transit_station
27207:15	50.13066689999999	14.1105182	restarace na Kovárně, Kladno	restarace na Kovárně, Kladno,CZ	GEOMETRIC_CENTER	establishment,food,point_of_interest,restaurant
27207:16	50.1369749	14.1020787	Sítná, hotel Kladno, Kladno	Sítná, hotel Kladno, Kladno,CZ	ROOFTOP	establishment,food,lodging,point_of_interest,restaurant
27207:17	50.1420351	14.106594	ulice J. Hory, Kladno	ulice J. Hory, Kladno,CZ	GEOMETRIC_CENTER	route
27207:20	50.1311561	14.1166451	Kaufland, Kladno	Kaufland, Kladno,CZ	ROOFTOP	establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket
76707:7	49.2963687	17.3968186	Husovo nám., Kroměříž, Kroměříž	Husovo nám., Kroměříž, Kroměříž,CZ	GEOMETRIC_CENTER	route
27607:1	50.3469232	14.4857433	Pražská, nemocnice, Mělník	Pražská, nemocnice, Mělník,CZ	ROOFTOP	establishment,health,hospital,point_of_interest
27607:4	50.34866599999999	14.490762	Mladoboleslavská- motot., Mělník	Mladoboleslavská- motot., Mělník,CZ	ROOFTOP	car_dealer,car_repair,establishment,point_of_interest,store
74207:5	49.5968188	18.0185254	Nový Jičín, Riegrova 1945/9, Nový Jičín	Nový Jičín, Riegrova 1945/9, Nový Jičín,CZ	ROOFTOP	street_address
74207:6	49.6000128	18.0217286	Nový Jičín, Hřbitovní 1522/26, potraviny, Nový Jičín	Nový Jičín, Hřbitovní 1522/26, potraviny, Nový Jičín,CZ	ROOFTOP	establishment,food,grocery_or_supermarket,point_of_interest,store
